2021-08-16 10:57:06,883 88999    1629125826	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_outRate.count    	63
2021-08-16 10:57:06,885 89001    1629125826	pi3-r1-m2-l3-p2.pi3lan.local:6700	  7:v5         	tuple_outRate.mean_rate	9.94854879427082E-7
2021-08-16 10:57:23,980 106096   1629125843	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_inRate.count     	107
2021-08-16 10:57:23,982 106098   1629125843	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_inRate.mean_rate 	1.7826646349418792E-6
2021-08-16 10:57:23,983 106099   1629125843	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_outRate.count    	0
2021-08-16 10:57:23,984 106100   1629125843	pi3-r1-m2-l4-p4.pi3lan.local:6700	  4:v2         	tuple_outRate.mean_rate	0.0
2021-08-16 10:57:24,066 106182   1629125844	pi3-r1-m2-l5-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:55596=2, /fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:55348=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fefc:80f1:33828=1, /fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:50224=2, /fd65:aeb8:64e2:a7c:ba27:ebff:feff:aca5:47962=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fe40:483d:55400=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fe08:be9c:55724=1, /fd65:aeb8:64e2:a7c:ba27:ebff:fe3b:89c9:35942=2}, messageBytes={2-1=851, 3-1=826, 4-1=817, 5-1=1064, 6-1=838, 7-1=1074, -1-1=31912, 9-1=862}}
2021-08-16 10:57:24,067 106183   1629125844	pi3-r1-m2-l5-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=35870, sys-ms=2910}
2021-08-16 10:57:24,262 106378   1629125844	pi3-r1-m2-l4-p4.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fe40:483d:58182=107}, messageBytes={2-4=46384}}
2021-08-16 10:57:24,264 106380   1629125844	pi3-r1-m2-l4-p4.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=36680, sys-ms=3830}
2021-08-16 10:57:25,354 107470   1629125845	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_inRate.count     	138
2021-08-16 10:57:25,356 107472   1629125845	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_inRate.mean_rate 	2.299567203553993E-6
2021-08-16 10:57:25,356 107472   1629125845	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_outRate.count    	138
2021-08-16 10:57:25,357 107473   1629125845	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_outRate.mean_rate	2.2995733665537822E-6
2021-08-16 10:57:25,650 107766   1629125845	pi3-r1-m2-l5-p3.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:45834=70, /fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:53270=68}, messageBytes={5-8=5372, 7-8=5530}}
2021-08-16 10:57:25,652 107768   1629125845	pi3-r1-m2-l5-p3.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=37380, sys-ms=3830}
2021-08-16 10:58:01,890 144006   1629125881	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_inRate.count     	14
2021-08-16 10:58:01,891 144007   1629125881	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_inRate.mean_rate 	1.1665699098806859E-7
2021-08-16 10:58:01,891 144007   1629125881	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_outRate.count    	14
2021-08-16 10:58:01,892 144008   1629125881	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_outRate.mean_rate	1.1665714226525284E-7
2021-08-16 10:58:01,943 144059   1629125881	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_inRate.count     	74
2021-08-16 10:58:01,945 144061   1629125881	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_inRate.mean_rate 	6.166347725845125E-7
